no;qsreg;qsreg_
1;0;20.5
2;1;19.399
3;3;22.25
4;7;17.949
5;8;19.899
6;10;21.449
7;14;16.899
8;15;21.5
9;17;22.8
10;21;24.699
11;22;26.2
12;24;28.5
13;28;24.35
14;29;24.399
15;31;26.6
16;35;26.2
17;36;26.649
18;38;29.25
19;42;27.55
20;43;29.6
21;45;24.899
22;49;27.6
23;50;28.1
24;52;27.85
25;56;26.899
26;57;27.8
27;59;30.25
28;63;27.6
29;64;27.449
30;70;27.199
31;73;27.8
32;77;28.199
33;80;28
34;84;27.3
35;87;27.899
36;91;28.699
37;94;27.6
38;98;28.6
39;105;27.5
